date_of_interest,CASE_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG
2/29/2020,1,0,0
3/1/2020,0,0,0
3/2/2020,0,0,0
3/3/2020,1,0,0
3/4/2020,5,0,0
3/5/2020,3,0,0
3/6/2020,8,3,3
3/7/2020,7,3,3
3/8/2020,21,6,6
3/9/2020,57,15,15
3/10/2020,69,24,24
3/11/2020,155,46,46
3/12/2020,355,96,96
3/13/2020,619,183,183
3/14/2020,642,274,274
3/15/2020,1035,419,419
3/16/2020,2121,714,714
3/17/2020,2452,1054,1055
3/18/2020,2971,1456,1458
3/19/2020,3707,1935,1937
3/20/2020,4007,2419,2422
3/21/2020,2638,2704,2708
3/22/2020,2580,2925,2929
3/23/2020,3570,3132,3138
3/24/2020,4500,3425,3432
3/25/2020,4874,3697,3705
3/26/2020,5046,3888,3902
3/27/2020,5117,4046,4066
3/28/2020,3480,4167,4193
3/29/2020,3560,4307,4341
3/30/2020,6130,4672,4717
3/31/2020,5459,4809,4864
4/1/2020,5448,4891,4958
4/2/2020,5747,4992,5077
4/3/2020,5669,5070,5173
4/4/2020,3864,5125,5248
4/5/2020,3781,5157,5295
4/6/2020,6354,5189,5347
4/7/2020,6042,5272,5449
4/8/2020,5579,5291,5481
4/9/2020,5072,5194,5388
4/10/2020,4510,5029,5225
4/11/2020,3733,5010,5204
4/12/2020,2887,4882,5076
4/13/2020,3312,4448,4636
4/14/2020,4144,4177,4354
4/15/2020,3875,3933,4097
4/16/2020,3531,3713,3869
4/17/2020,3584,3581,3724
4/18/2020,2172,3358,3493
4/19/2020,2345,3280,3403
4/20/2020,3792,3349,3459
4/21/2020,3063,3195,3298
4/22/2020,3447,3133,3233
4/23/2020,2841,3035,3127
4/24/2020,2535,2885,2972
4/25/2020,1595,2803,2880
4/26/2020,1003,2611,2683
4/27/2020,2288,2396,2462
4/28/2020,2727,2348,2405
4/29/2020,2340,2190,2240
4/30/2020,2022,2073,2116
5/1/2020,1887,1980,2020
5/2/2020,1058,1904,1941
5/3/2020,787,1873,1907
5/4/2020,1550,1767,1799
5/5/2020,1512,1594,1624
5/6/2020,1398,1459,1488
5/7/2020,1239,1347,1375
5/8/2020,1081,1232,1257
5/9/2020,657,1175,1197
5/10/2020,457,1128,1147
5/11/2020,1231,1082,1099
5/12/2020,1285,1050,1066
5/13/2020,1334,1041,1054
5/14/2020,1110,1022,1035
5/15/2020,873,992,1004
5/16/2020,485,968,981
5/17/2020,360,954,967
5/18/2020,895,906,918
5/19/2020,1003,866,877
5/20/2020,1077,829,840
5/21/2020,1069,823,833
5/22/2020,1038,847,857
5/23/2020,456,843,850
5/24/2020,467,858,865
5/25/2020,465,796,803
5/26/2020,1053,804,810
5/27/2020,744,756,762
5/28/2020,646,696,701
5/29/2020,642,639,645
5/30/2020,348,624,630
5/31/2020,230,590,597
6/1/2020,686,621,629
6/2/2020,572,553,560
6/3/2020,514,520,527
6/4/2020,523,502,511
6/5/2020,403,468,477
6/6/2020,247,454,463
6/7/2020,197,449,459
6/8/2020,450,415,427
6/9/2020,421,394,405
6/10/2020,365,372,386
6/11/2020,365,350,364
6/12/2020,410,351,366
6/13/2020,196,343,359
6/14/2020,180,341,357
6/15/2020,381,331,347
6/16/2020,420,331,348
6/17/2020,356,330,346
6/18/2020,378,332,346
6/19/2020,362,325,340
6/20/2020,203,326,342
6/21/2020,172,325,340
6/22/2020,402,328,343
6/23/2020,382,322,337
6/24/2020,381,326,340
6/25/2020,299,314,329
6/26/2020,316,308,322
6/27/2020,206,308,322
6/28/2020,202,313,326
6/29/2020,437,318,332
6/30/2020,442,326,341
7/1/2020,397,328,344
7/2/2020,416,345,361
7/3/2020,235,334,349
7/4/2020,120,321,337
7/5/2020,154,314,329
7/6/2020,434,314,330
7/7/2020,461,317,334
7/8/2020,437,322,339
7/9/2020,393,319,336
7/10/2020,307,329,347
7/11/2020,259,349,368
7/12/2020,224,359,378
7/13/2020,483,366,385
7/14/2020,403,358,375
7/15/2020,439,358,376
7/16/2020,413,361,380
7/17/2020,417,377,395
7/18/2020,216,371,390
7/19/2020,175,364,384
7/20/2020,402,352,374
7/21/2020,340,343,365
7/22/2020,330,328,349
7/23/2020,308,313,333
7/24/2020,300,296,316
7/25/2020,153,287,306
7/26/2020,140,282,300
7/27/2020,314,269,286
7/28/2020,315,266,282
7/29/2020,289,260,277
7/30/2020,274,255,272
7/31/2020,263,250,268
8/1/2020,189,255,272
8/2/2020,138,255,271
8/3/2020,348,259,277
8/4/2020,187,241,259
8/5/2020,298,242,260
8/6/2020,290,245,263
8/7/2020,255,244,262
8/8/2020,161,240,260
8/9/2020,133,239,260
8/10/2020,311,234,256
8/11/2020,264,245,268
8/12/2020,320,248,271
8/13/2020,278,246,271
8/14/2020,277,249,274
8/15/2020,151,248,271
8/16/2020,140,249,272
8/17/2020,333,252,275
8/18/2020,285,255,277
8/19/2020,257,246,271
8/20/2020,227,239,262
8/21/2020,252,235,259
8/22/2020,136,233,258
8/23/2020,150,234,260
8/24/2020,298,229,254
8/25/2020,283,229,253
8/26/2020,313,237,259
8/27/2020,273,244,266
8/28/2020,279,247,268
8/29/2020,128,246,268
8/30/2020,186,251,273
8/31/2020,315,254,275
9/1/2020,295,256,278
9/2/2020,271,250,273
9/3/2020,273,250,274
9/4/2020,230,243,267
9/5/2020,156,247,269
9/6/2020,207,250,272
9/7/2020,218,236,259
9/8/2020,395,250,272
9/9/2020,352,262,284
9/10/2020,323,269,291
9/11/2020,313,281,305
9/12/2020,202,287,314
9/13/2020,254,294,321
9/14/2020,434,325,352
9/15/2020,338,317,348
9/16/2020,367,319,351
9/17/2020,353,323,356
9/18/2020,283,319,353
9/19/2020,158,312,346
9/20/2020,159,299,333
9/21/2020,513,310,348
9/22/2020,404,320,358
9/23/2020,531,343,385
9/24/2020,476,361,408
9/25/2020,458,386,436
9/26/2020,279,403,455
9/27/2020,382,435,490
9/28/2020,436,424,477
9/29/2020,686,464,519
9/30/2020,583,471,529
10/1/2020,614,491,550
10/2/2020,598,511,574
10/3/2020,277,511,575
10/4/2020,335,504,570
10/5/2020,763,551,628
10/6/2020,571,534,611
10/7/2020,542,529,606
10/8/2020,523,516,592
10/9/2020,524,505,583
10/10/2020,313,510,588
10/11/2020,281,502,578
10/12/2020,515,467,536
10/13/2020,589,470,545
10/14/2020,581,475,558
10/15/2020,600,486,577
10/16/2020,503,483,579
10/17/2020,366,491,595
10/18/2020,411,509,624
10/19/2020,626,525,654
10/20/2020,601,527,662
10/21/2020,654,537,677
10/22/2020,758,560,706
10/23/2020,602,574,727
10/24/2020,385,577,734
10/25/2020,362,570,732
10/26/2020,695,580,749
10/27/2020,740,599,779
10/28/2020,785,618,806
10/29/2020,618,598,793
10/30/2020,653,605,806
10/31/2020,404,608,810
11/1/2020,500,628,842
11/2/2020,952,665,894
11/3/2020,904,688,927
11/4/2020,1111,735,996
11/5/2020,1140,809,1094
11/6/2020,1035,864,1178
11/7/2020,843,926,1272
11/8/2020,789,968,1332
11/9/2020,1544,1052,1447
11/10/2020,1594,1151,1574
11/11/2020,1538,1212,1649
11/12/2020,1501,1263,1715
11/13/2020,1495,1329,1794
11/14/2020,1026,1355,1830
11/15/2020,897,1371,1853
11/16/2020,1832,1412,1892
11/17/2020,1730,1431,1918
11/18/2020,1753,1462,1958
11/19/2020,1857,1513,2011
11/20/2020,1772,1552,2050
11/21/2020,1290,1590,2077
11/22/2020,1147,1626,2111
11/23/2020,2315,1695,2188
11/24/2020,2071,1744,2245
11/25/2020,2371,1832,2348
11/26/2020,808,1682,2178
11/27/2020,2300,1757,2290
11/28/2020,1787,1828,2394
11/29/2020,1729,1912,2507
11/30/2020,2802,1981,2607
12/1/2020,3142,2134,2814
12/2/2020,3006,2225,2932
12/3/2020,2883,2521,3303
12/4/2020,2811,2594,3375
12/5/2020,1881,2608,3398
12/6/2020,1753,2611,3407
12/7/2020,3309,2684,3511
12/8/2020,3065,2673,3489
12/9/2020,3107,2687,3523
12/10/2020,3148,2725,3562
12/11/2020,2981,2749,3606
12/12/2020,2202,2795,3641
12/13/2020,2177,2856,3736
12/14/2020,3579,2894,3785
12/15/2020,3669,2980,3877
12/16/2020,2785,2934,3804
12/17/2020,1925,2760,3611
12/18/2020,3431,2824,3668
12/19/2020,2560,2875,3734
12/20/2020,2351,2900,3733
12/21/2020,4341,3009,3837
12/22/2020,4101,3071,3900
12/23/2020,3845,3222,4073
12/24/2020,3017,3378,4209
12/25/2020,1049,3038,3835
12/26/2020,3449,3165,3992
12/27/2020,2886,3241,4098
12/28/2020,5384,3390,4268
12/29/2020,5209,3548,4434
12/30/2020,4975,3710,4614
12/31/2020,3387,3763,4687
1/1/2021,1325,3802,4754
1/2/2021,4194,3909,4884
1/3/2021,3448,3989,4974
1/4/2021,6579,4160,5176
1/5/2021,6144,4293,5359
1/6/2021,5665,4392,5486
1/7/2021,5409,4681,5831
1/8/2021,5298,5248,6443
1/9/2021,3691,5176,6347
1/10/2021,3198,5141,6311
1/11/2021,5898,5043,6205
1/12/2021,5224,4912,6049
1/13/2021,5166,4841,5973
1/14/2021,5253,4818,5946
1/15/2021,4797,4747,5875
1/16/2021,3479,4716,5847
1/17/2021,2904,4674,5812
1/18/2021,4631,4493,5627
1/19/2021,5135,4481,5638
1/20/2021,4910,4444,5608
1/21/2021,4919,4396,5575
1/22/2021,4697,4382,5580
1/23/2021,3280,4354,5568
1/24/2021,2845,4345,5548
1/25/2021,5659,4492,5709
1/26/2021,4701,4430,5633
1/27/2021,4787,4413,5608
1/28/2021,4677,4378,5564
1/29/2021,3679,4233,5388
1/30/2021,2858,4172,5299
1/31/2021,2890,4179,5304
2/1/2021,977,3510,4511
2/2/2021,2665,3219,4120
2/3/2021,5136,3269,4151
2/4/2021,4860,3295,4171
2/5/2021,4157,3363,4255
2/6/2021,3084,3396,4293
2/7/2021,1650,3218,4084
2/8/2021,4436,3713,4666
2/9/2021,3732,3865,4888
2/10/2021,3776,3671,4680
2/11/2021,3421,3465,4445
2/12/2021,3322,3346,4287
2/13/2021,2203,3220,4154
2/14/2021,1894,3255,4199
2/15/2021,2846,3028,3905
2/16/2021,3723,3026,3894
2/17/2021,3441,2979,3852
2/18/2021,2044,2782,3638
2/19/2021,3024,2739,3616
2/20/2021,2496,2781,3673
2/21/2021,2279,2836,3698
2/22/2021,3617,2946,3847
2/23/2021,3472,2910,3825
2/24/2021,3461,2913,3823
2/25/2021,3480,3118,4054
2/26/2021,3245,3150,4084
2/27/2021,2011,3081,3996
2/28/2021,2037,3046,4004
3/1/2021,3728,3062,4049
3/2/2021,3111,3010,3992
3/3/2021,3243,2979,3979
3/4/2021,3118,2928,3930
3/5/2021,2887,2876,3867
3/6/2021,2048,2882,3858
3/7/2021,1878,2859,3831
3/8/2021,3400,2812,3783
3/9/2021,3332,2844,3824
3/10/2021,3204,2838,3814
3/11/2021,3104,2836,3815
3/12/2021,3209,2882,3859
3/13/2021,2173,2900,3896
3/14/2021,1917,2906,3896
3/15/2021,3395,2905,3885
3/16/2021,3195,2885,3853
3/17/2021,3174,2881,3853
3/18/2021,2916,2854,3823
3/19/2021,3047,2831,3819
3/20/2021,2158,2829,3826
3/21/2021,2080,2852,3851
3/22/2021,3857,2918,3938
3/23/2021,3224,2922,3959
3/24/2021,3447,2961,4003
3/25/2021,3760,3082,4157
3/26/2021,3404,3133,4208
3/27/2021,2207,3140,4205
3/28/2021,1737,3091,4140
3/29/2021,3527,3044,4087
3/30/2021,3166,3035,4059
3/31/2021,3174,2996,3995
4/1/2021,2856,2867,3813
4/2/2021,2618,2755,3668
4/3/2021,2045,2732,3611
4/4/2021,1468,2693,3556
4/5/2021,3271,2657,3488
4/6/2021,3003,2634,3459
4/7/2021,2759,2574,3379
4/8/2021,2564,2533,3322
4/9/2021,2460,2510,3292
4/10/2021,1713,2463,3248
4/11/2021,1301,2439,3228
4/12/2021,2519,2331,3096
4/13/2021,2347,2238,2972
4/14/2021,2233,2162,2868
4/15/2021,2007,2083,2768
4/16/2021,1835,1994,2661
4/17/2021,1267,1930,2575
4/18/2021,1049,1894,2518
4/19/2021,1886,1803,2397
4/20/2021,1595,1696,2257
4/21/2021,1416,1579,2125
4/22/2021,1358,1487,2007
4/23/2021,1289,1409,1897
4/24/2021,851,1349,1818
4/25/2021,752,1307,1747
4/26/2021,1364,1232,1639
4/27/2021,1131,1166,1553
4/28/2021,1209,1136,1501
4/29/2021,1050,1092,1442
4/30/2021,953,1044,1381
5/1/2021,552,1002,1325
5/2/2021,549,973,1288
5/3/2021,904,907,1210
5/4/2021,846,866,1153
5/5/2021,755,801,1067
5/6/2021,750,758,1012
5/7/2021,690,721,959
5/8/2021,368,695,924
5/9/2021,317,661,881
5/10/2021,630,622,829
5/11/2021,601,587,785
5/12/2021,554,559,747
5/13/2021,471,519,694
5/14/2021,441,483,655
5/15/2021,240,465,629
