Reported_date,Country,City,total_confirmed_cases,Population,Census_year,cases_per_million
2020-11-16,Brasil,Sao Paulo,330753,12252023,2017,26996.0
2020-11-16,Estados Unidos,New York,283341,8398748,2018,33736.0
2020-11-17,Brasil,Sao Paulo,334733,12252023,2017,27321.0
2020-11-17,Estados Unidos,New York,285275,8398748,2018,33966.0
2020-11-18,Brasil,Sao Paulo,336703,12252023,2017,27481.0
2020-11-18,Estados Unidos,New York,287022,8398748,2018,34174.0
2020-11-19,Brasil,Sao Paulo,336703,12252023,2017,27481.0
2020-11-19,Estados Unidos,New York,288869,8398748,2018,34394.0
2020-11-20,Brasil,Sao Paulo,338989,12252023,2017,27668.0
2020-11-20,Estados Unidos,New York,290890,8398748,2018,34635.0
2020-11-21,Brasil,Sao Paulo,340537,12252023,2017,27794.0
2020-11-21,Estados Unidos,New York,294765,8398748,2018,35096.0
2020-11-22,Brasil,Sao Paulo,341035,12252023,2017,27835.0
2020-11-22,Estados Unidos,New York,294765,8398748,2018,35096.0
2020-11-23,Brasil,Sao Paulo,341340,12252023,2017,27860.0
2020-11-23,Estados Unidos,New York,296547,8398748,2018,35308.0
2020-11-24,Brasil,Sao Paulo,342822,12252023,2017,27981.0
2020-11-24,Estados Unidos,New York,300191,8398748,2018,35742.0
2020-11-25,Brasil,Sao Paulo,346655,12252023,2017,28294.0
2020-11-25,Estados Unidos,New York,302522,8398748,2018,36020.0
2020-11-26,Brasil,Sao Paulo,346655,12252023,2017,28294.0
2020-11-26,Estados Unidos,New York,302522,8398748,2018,36020.0
2020-11-27,Brasil,Sao Paulo,349033,12252023,2017,28488.0
2020-11-27,Estados Unidos,New York,307188,8398748,2018,36575.0
2020-11-28,Brasil,Sao Paulo,349622,12252023,2017,28536.0
2020-11-28,Estados Unidos,New York,307188,8398748,2018,36575.0
2020-11-29,Brasil,Sao Paulo,349912,12252023,2017,28560.0
2020-11-29,Estados Unidos,New York,311979,8398748,2018,37146.0
2020-11-30,Brasil,Sao Paulo,349912,12252023,2017,28560.0
2020-11-30,Estados Unidos,New York,311979,8398748,2018,37146.0
2020-12-01,Brasil,Sao Paulo,352144,12252023,2017,28742.0
2020-12-01,Estados Unidos,New York,314548,8398748,2018,37452.0
2020-12-02,Brasil,Sao Paulo,356278,12252023,2017,29079.0
2020-12-02,Estados Unidos,New York,317746,8398748,2018,37833.0
2020-12-03,Brasil,Sao Paulo,358390,12252023,2017,29251.0
2020-12-03,Estados Unidos,New York,321053,8398748,2018,38226.0
2020-12-04,Brasil,Sao Paulo,360539,12252023,2017,29427.0
2020-12-04,Estados Unidos,New York,327879,8398748,2018,39039.0
2020-12-05,Brasil,Sao Paulo,360539,12252023,2017,29427.0
2020-12-05,Estados Unidos,New York,331006,8398748,2018,39411.0
2020-12-06,Brasil,Sao Paulo,361450,12252023,2017,29501.0
2020-12-06,Estados Unidos,New York,333771,8398748,2018,39741.0
2020-12-07,Brasil,Sao Paulo,363495,12252023,2017,29668.0
2020-12-07,Estados Unidos,New York,333771,8398748,2018,39741.0
2020-12-08,Brasil,Sao Paulo,365670,12252023,2017,29846.0
2020-12-08,Estados Unidos,New York,340974,8398748,2018,40598.0
2020-12-09,Brasil,Sao Paulo,367666,12252023,2017,30009.0
2020-12-09,Estados Unidos,New York,340974,8398748,2018,40598.0
2020-12-10,Brasil,Sao Paulo,367666,12252023,2017,30009.0
2020-12-10,Estados Unidos,New York,347691,8398748,2018,41398.0
2020-12-11,Brasil,Sao Paulo,371468,12252023,2017,30319.0
2020-12-11,Estados Unidos,New York,351674,8398748,2018,41872.0
2020-12-12,Brasil,Sao Paulo,371468,12252023,2017,30319.0
2020-12-12,Estados Unidos,New York,351674,8398748,2018,41872.0
2020-12-13,Brasil,Sao Paulo,371669,12252023,2017,30335.0
2020-12-13,Estados Unidos,New York,358081,8398748,2018,42635.0
2020-12-14,Brasil,Sao Paulo,371959,12252023,2017,30359.0
2020-12-14,Estados Unidos,New York,358081,8398748,2018,42635.0
2020-12-15,Brasil,Sao Paulo,372875,12252023,2017,30434.0
2020-12-15,Estados Unidos,New York,362227,8398748,2018,43129.0
2020-12-16,Brasil,Sao Paulo,372875,12252023,2017,30434.0
2020-12-16,Estados Unidos,New York,369385,8398748,2018,43981.0
2020-12-17,Brasil,Sao Paulo,377507,12252023,2017,30812.0
2020-12-17,Estados Unidos,New York,369385,8398748,2018,43981.0
2020-12-18,Brasil,Sao Paulo,379532,12252023,2017,30977.0
2020-12-18,Estados Unidos,New York,373882,8398748,2018,44516.0
2020-12-19,Brasil,Sao Paulo,382030,12252023,2017,31181.0
2020-12-19,Estados Unidos,New York,380473,8398748,2018,45301.0
2020-12-20,Brasil,Sao Paulo,382030,12252023,2017,31181.0
2020-12-20,Estados Unidos,New York,383811,8398748,2018,45699.0
2020-12-21,Brasil,Sao Paulo,382760,12252023,2017,31241.0
2020-12-21,Estados Unidos,New York,387267,8398748,2018,46110.0
2020-12-22,Brasil,Sao Paulo,382760,12252023,2017,31241.0
2020-12-22,Estados Unidos,New York,391640,8398748,2018,46631.0
2020-12-23,Brasil,Sao Paulo,389822,12252023,2017,31817.0
2020-12-23,Estados Unidos,New York,396302,8398748,2018,47186.0
2020-12-24,Brasil,Sao Paulo,389822,12252023,2017,31817.0
2020-12-24,Estados Unidos,New York,400473,8398748,2018,47682.0
2020-12-25,Brasil,Sao Paulo,390834,12252023,2017,31900.0
2020-12-25,Estados Unidos,New York,404422,8398748,2018,48153.0
2020-12-26,Brasil,Sao Paulo,391257,12252023,2017,31934.0
2020-12-26,Estados Unidos,New York,407264,8398748,2018,48491.0
2020-12-27,Brasil,Sao Paulo,392401,12252023,2017,32027.0
2020-12-27,Estados Unidos,New York,410787,8398748,2018,48911.0
2020-12-28,Brasil,Sao Paulo,392401,12252023,2017,32027.0
2020-12-28,Estados Unidos,New York,410787,8398748,2018,48911.0
2020-12-29,Brasil,Sao Paulo,399061,12252023,2017,32571.0
2020-12-29,Estados Unidos,New York,426018,8398748,2018,50724.0
2020-12-30,Brasil,Sao Paulo,401718,12252023,2017,32788.0
2020-12-30,Estados Unidos,New York,430597,8398748,2018,51269.0
2020-12-31,Brasil,Sao Paulo,401718,12252023,2017,32788.0
2020-12-31,Estados Unidos,New York,436426,8398748,2018,51963.0
2021-01-01,Brasil,Sao Paulo,403388,12252023,2017,32924.0
2021-01-01,Estados Unidos,New York,442426,8398748,2018,52678.0
2021-01-02,Brasil,Sao Paulo,403388,12252023,2017,32924.0
2021-01-02,Estados Unidos,New York,446630,8398748,2018,53178.0
2021-01-03,Brasil,Sao Paulo,404576,12252023,2017,33021.0
2021-01-03,Estados Unidos,New York,450389,8398748,2018,53626.0
2021-01-04,Brasil,Sao Paulo,407577,12252023,2017,33266.0
2021-01-04,Estados Unidos,New York,455726,8398748,2018,54261.0
2021-01-05,Brasil,Sao Paulo,410765,12252023,2017,33526.0
2021-01-05,Estados Unidos,New York,460969,8398748,2018,54885.0
2021-01-06,Brasil,Sao Paulo,413892,12252023,2017,33782.0
2021-01-06,Estados Unidos,New York,467064,8398748,2018,55611.0
2021-01-07,Brasil,Sao Paulo,417221,12252023,2017,34053.0
2021-01-07,Estados Unidos,New York,474074,8398748,2018,56446.0
2021-01-08,Brasil,Sao Paulo,417221,12252023,2017,34053.0
2021-01-08,Estados Unidos,New York,481014,8398748,2018,57272.0
2021-01-09,Brasil,Sao Paulo,420939,12252023,2017,34357.0
2021-01-09,Estados Unidos,New York,487285,8398748,2018,58019.0
2021-01-10,Brasil,Sao Paulo,421614,12252023,2017,34412.0
2021-01-10,Estados Unidos,New York,493038,8398748,2018,58704.0
2021-01-11,Brasil,Sao Paulo,421614,12252023,2017,34412.0
2021-01-11,Estados Unidos,New York,498613,8398748,2018,59368.0
2021-01-12,Brasil,Sao Paulo,427832,12252023,2017,34919.0
2021-01-12,Estados Unidos,New York,504561,8398748,2018,60076.0
2021-01-13,Brasil,Sao Paulo,430702,12252023,2017,35154.0
2021-01-13,Estados Unidos,New York,510442,8398748,2018,60776.0
2021-01-14,Brasil,Sao Paulo,434168,12252023,2017,35436.0
2021-01-14,Estados Unidos,New York,517692,8398748,2018,61639.0
2021-01-15,Brasil,Sao Paulo,437229,12252023,2017,35686.0
2021-01-15,Estados Unidos,New York,523958,8398748,2018,62385.0
2021-01-16,Brasil,Sao Paulo,438369,12252023,2017,35779.0
2021-01-16,Estados Unidos,New York,529561,8398748,2018,63052.0
2021-01-17,Brasil,Sao Paulo,439011,12252023,2017,35832.0
2021-01-17,Estados Unidos,New York,536009,8398748,2018,63820.0
2021-01-18,Brasil,Sao Paulo,442477,12252023,2017,36115.0
2021-01-18,Estados Unidos,New York,541566,8398748,2018,64482.0
2021-01-19,Brasil,Sao Paulo,445876,12252023,2017,36392.0
2021-01-19,Estados Unidos,New York,545908,8398748,2018,64999.0
2021-01-20,Brasil,Sao Paulo,448744,12252023,2017,36626.0
2021-01-20,Estados Unidos,New York,551126,8398748,2018,65620.0
2021-01-21,Brasil,Sao Paulo,450460,12252023,2017,36766.0
2021-01-21,Estados Unidos,New York,557966,8398748,2018,66434.0
2021-01-22,Brasil,Sao Paulo,453461,12252023,2017,37011.0
2021-01-22,Estados Unidos,New York,563940,8398748,2018,67146.0
2021-01-23,Brasil,Sao Paulo,454355,12252023,2017,37084.0
2021-01-23,Estados Unidos,New York,569356,8398748,2018,67791.0
2021-01-24,Brasil,Sao Paulo,454900,12252023,2017,37129.0
2021-01-24,Estados Unidos,New York,575018,8398748,2018,68465.0
2021-01-25,Brasil,Sao Paulo,456067,12252023,2017,37224.0
2021-01-25,Estados Unidos,New York,575018,8398748,2018,68465.0
2021-01-26,Brasil,Sao Paulo,461172,12252023,2017,37640.0
2021-01-26,Estados Unidos,New York,584353,8398748,2018,69576.0
2021-01-27,Brasil,Sao Paulo,462905,12252023,2017,37782.0
2021-01-27,Estados Unidos,New York,590838,8398748,2018,70348.0
2021-01-28,Brasil,Sao Paulo,466172,12252023,2017,38049.0
2021-01-28,Estados Unidos,New York,596988,8398748,2018,71081.0
2021-01-29,Brasil,Sao Paulo,468893,12252023,2017,38271.0
2021-01-29,Estados Unidos,New York,603101,8398748,2018,71808.0
2021-01-30,Brasil,Sao Paulo,469657,12252023,2017,38333.0
2021-01-30,Estados Unidos,New York,603101,8398748,2018,71808.0
2021-01-31,Brasil,Sao Paulo,470125,12252023,2017,38371.0
2021-01-31,Estados Unidos,New York,613148,8398748,2018,73005.0
2021-02-01,Brasil,Sao Paulo,473263,12252023,2017,38627.0
2021-02-01,Estados Unidos,New York,617073,8398748,2018,73472.0
2021-02-02,Brasil,Sao Paulo,476299,12252023,2017,38875.0
2021-02-02,Estados Unidos,New York,620880,8398748,2018,73925.0
2021-02-03,Brasil,Sao Paulo,479512,12252023,2017,39137.0
2021-02-03,Estados Unidos,New York,623374,8398748,2018,74222.0
2021-02-04,Brasil,Sao Paulo,481934,12252023,2017,39335.0
2021-02-04,Estados Unidos,New York,626373,8398748,2018,74579.0
2021-02-05,Brasil,Sao Paulo,484353,12252023,2017,39532.0
2021-02-05,Estados Unidos,New York,631956,8398748,2018,75244.0
2021-02-06,Brasil,Sao Paulo,485155,12252023,2017,39598.0
2021-02-06,Estados Unidos,New York,637131,8398748,2018,75860.0
2021-02-07,Brasil,Sao Paulo,485709,12252023,2017,39643.0
2021-02-07,Estados Unidos,New York,642199,8398748,2018,76464.0
2021-02-08,Brasil,Sao Paulo,488446,12252023,2017,39867.0
2021-02-08,Estados Unidos,New York,646811,8398748,2018,77013.0
2021-02-09,Brasil,Sao Paulo,491256,12252023,2017,40096.0
2021-02-09,Estados Unidos,New York,649590,8398748,2018,77344.0
2021-02-10,Brasil,Sao Paulo,493409,12252023,2017,40272.0
2021-02-10,Estados Unidos,New York,654710,8398748,2018,77953.0
2021-02-11,Brasil,Sao Paulo,495938,12252023,2017,40478.0
2021-02-11,Estados Unidos,New York,659202,8398748,2018,78488.0
2021-02-12,Brasil,Sao Paulo,498141,12252023,2017,40658.0
2021-02-12,Estados Unidos,New York,663775,8398748,2018,79033.0
2021-02-13,Brasil,Sao Paulo,498726,12252023,2017,40706.0
2021-02-13,Estados Unidos,New York,667907,8398748,2018,79525.0
2021-02-14,Brasil,Sao Paulo,499278,12252023,2017,40751.0
2021-02-14,Estados Unidos,New York,671532,8398748,2018,79956.0
2021-02-15,Brasil,Sao Paulo,501625,12252023,2017,40942.0
2021-02-15,Estados Unidos,New York,675188,8398748,2018,80392.0
2021-02-16,Brasil,Sao Paulo,504310,12252023,2017,41161.0
2021-02-16,Estados Unidos,New York,678098,8398748,2018,80738.0
2021-02-17,Brasil,Sao Paulo,506805,12252023,2017,41365.0
2021-02-17,Estados Unidos,New York,684414,8398748,2018,81490.0
2021-02-18,Brasil,Sao Paulo,508944,12252023,2017,41540.0
2021-02-18,Estados Unidos,New York,689150,8398748,2018,82054.0
2021-02-19,Brasil,Sao Paulo,511095,12252023,2017,41715.0
2021-02-19,Estados Unidos,New York,693845,8398748,2018,82613.0
2021-02-20,Brasil,Sao Paulo,511924,12252023,2017,41783.0
2021-02-20,Estados Unidos,New York,696854,8398748,2018,82971.0
2021-02-21,Brasil,Sao Paulo,512631,12252023,2017,41841.0
2021-02-21,Estados Unidos,New York,700358,8398748,2018,83388.0
2021-02-22,Brasil,Sao Paulo,514913,12252023,2017,42027.0
2021-02-22,Estados Unidos,New York,703166,8398748,2018,83723.0
2021-02-23,Brasil,Sao Paulo,517362,12252023,2017,42227.0
2021-02-23,Estados Unidos,New York,707478,8398748,2018,84236.0
2021-02-24,Brasil,Sao Paulo,519954,12252023,2017,42438.0
2021-02-24,Estados Unidos,New York,711936,8398748,2018,84767.0
2021-02-25,Brasil,Sao Paulo,522087,12252023,2017,42612.0
2021-02-25,Estados Unidos,New York,716220,8398748,2018,85277.0
2021-02-26,Brasil,Sao Paulo,524001,12252023,2017,42769.0
2021-02-26,Estados Unidos,New York,720497,8398748,2018,85786.0
2021-02-27,Brasil,Sao Paulo,524858,12252023,2017,42838.0
2021-02-27,Estados Unidos,New York,724702,8398748,2018,86287.0
2021-02-28,Brasil,Sao Paulo,525595,12252023,2017,42899.0
2021-02-28,Estados Unidos,New York,728404,8398748,2018,86287.0
2021-03-01,Brasil,Sao Paulo,527515,12252023,2017,43055.0
2021-03-01,Estados Unidos,New York,732126,8398748,2018,87171.0
2021-03-02,Brasil,Sao Paulo,530183,12252023,2017,43273.0
2021-03-02,Estados Unidos,New York,735307,8398748,2018,87550.0
2021-03-03,Brasil,Sao Paulo,530755,12252023,2017,43320.0
2021-03-03,Estados Unidos,New York,739216,8398748,2018,88015.0
2021-03-04,Brasil,Sao Paulo,535617,12252023,2017,43717.0
2021-03-04,Estados Unidos,New York,743278,8398748,2018,88499.0
2021-03-05,Brasil,Sao Paulo,538333,12252023,2017,43938.0
2021-03-05,Estados Unidos,New York,747847,8398748,2018,89043.0
2021-03-06,Brasil,Sao Paulo,539683,12252023,2017,44048.0
2021-03-06,Estados Unidos,New York,752222,8398748,2018,89564.0
2021-03-07,Brasil,Sao Paulo,540750,12252023,2017,44136.0
2021-03-07,Estados Unidos,New York,755103,8398748,2018,89907.0
2021-03-08,Brasil,Sao Paulo,544063,12252023,2017,44406.0
2021-03-08,Estados Unidos,New York,759026,8398748,2018,90374.0
2021-03-09,Brasil,Sao Paulo,547384,12252023,2017,44677.0
2021-03-09,Estados Unidos,New York,762049,8398748,2018,90734.0
2021-03-10,Brasil,Sao Paulo,550654,12252023,2017,44944.0
2021-03-10,Estados Unidos,New York,766014,8398748,2018,91206.0
2021-03-11,Brasil,Sao Paulo,553751,12252023,2017,45197.0
2021-03-11,Estados Unidos,New York,771618,8398748,2018,91873.0
2021-03-12,Brasil,Sao Paulo,556869,12252023,2017,45451.0
2021-03-12,Estados Unidos,New York,773151,8398748,2018,92056.0
2021-03-13,Brasil,Sao Paulo,558514,12252023,2017,45585.0
2021-03-13,Estados Unidos,New York,777010,8398748,2018,92515.0
2021-03-14,Brasil,Sao Paulo,559817,12252023,2017,45692.0
2021-03-14,Estados Unidos,New York,781329,8398748,2018,93029.0
2021-03-15,Brasil,Sao Paulo,559817,12252023,2017,45692.0
2021-03-15,Estados Unidos,New York,784900,8398748,2018,93454.0
2021-03-16,Brasil,Sao Paulo,559817,12252023,2017,45692.0
2021-03-16,Estados Unidos,New York,787901,8398748,2018,93812.0
2021-03-17,Brasil,Sao Paulo,571358,12252023,2017,46634.0
2021-03-17,Estados Unidos,New York,787901,8398748,2018,93812.0
2021-03-18,Brasil,Sao Paulo,575331,12252023,2017,46958.0
2021-03-18,Estados Unidos,New York,791064,8398748,2018,94188.0
2021-03-19,Brasil,Sao Paulo,579380,12252023,2017,47289.0
2021-03-19,Estados Unidos,New York,793877,8398748,2018,94523.0
2021-03-20,Brasil,Sao Paulo,581013,12252023,2017,47422.0
2021-03-20,Estados Unidos,New York,793877,8398748,2018,94523.0
2021-03-21,Brasil,Sao Paulo,582245,12252023,2017,47522.0
2021-03-21,Estados Unidos,New York,793947,8398748,2018,94532.0
2021-03-22,Brasil,Sao Paulo,586394,12252023,2017,47861.0
2021-03-22,Estados Unidos,New York,793877,8398748,2018,94523.0
2021-03-23,Brasil,Sao Paulo,590885,12252023,2017,48228.0
2021-03-23,Estados Unidos,New York,818046,8398748,2018,97401.0
2021-03-24,Brasil,Sao Paulo,595099,12252023,2017,48571.0
2021-03-24,Estados Unidos,New York,822548,8398748,2018,97937.0
2021-03-25,Brasil,Sao Paulo,599340,12252023,2017,48918.0
2021-03-25,Estados Unidos,New York,826494,8398748,2018,98407.0
2021-03-26,Brasil,Sao Paulo,603049,12252023,2017,49220.0
2021-03-26,Estados Unidos,New York,830896,8398748,2018,98931.0
2021-03-27,Brasil,Sao Paulo,605059,12252023,2017,49384.0
2021-03-27,Estados Unidos,New York,835608,8398748,2018,99492.0
2021-03-28,Brasil,Sao Paulo,606301,12252023,2017,49486.0
2021-03-28,Estados Unidos,New York,836227,8398748,2018,99566.0
2021-03-29,Brasil,Sao Paulo,611049,12252023,2017,49873.0
2021-03-29,Estados Unidos,New York,843207,8398748,2018,100397.0
2021-03-30,Brasil,Sao Paulo,619397,12252023,2017,50555.0
2021-03-30,Estados Unidos,New York,846792,8398748,2018,100824.0
2021-03-31,Brasil,Sao Paulo,628043,12252023,2017,51260.0
2021-03-31,Estados Unidos,New York,851401,8398748,2018,101372.0
2021-04-01,Brasil,Sao Paulo,631786,12252023,2017,51566.0
2021-04-01,Estados Unidos,New York,855448,8398748,2018,101854.0
2021-04-02,Brasil,Sao Paulo,633097,12252023,2017,51673.0
2021-04-02,Estados Unidos,New York,859066,8398748,2018,102285.0
2021-04-03,Brasil,Sao Paulo,634456,12252023,2017,51784.0
2021-04-03,Estados Unidos,New York,862922,8398748,2018,102744.0
2021-04-04,Brasil,Sao Paulo,635582,12252023,2017,51876.0
2021-04-04,Estados Unidos,New York,880275,8398748,2018,104810.0
2021-04-05,Brasil,Sao Paulo,647,12252023,2017,52.833999999999996
2021-04-05,Estados Unidos,New York,869,8398748,2018,103.506
2021-04-06,Brasil,Sao Paulo,647,12252023,2017,52.843999999999994
2021-04-06,Estados Unidos,New York,872,8398748,2018,103.848
2021-04-07,Brasil,Sao Paulo,652,12252023,2017,53.225
2021-04-07,Estados Unidos,New York,876,8398748,2018,104.34700000000001
2021-04-08,Brasil,Sao Paulo,656,12252023,2017,53.583999999999996
2021-04-08,Estados Unidos,New York,880,8398748,2018,104.825
2021-04-09,Brasil,Sao Paulo,660,12252023,2017,53.88399999999999
2021-04-09,Estados Unidos,New York,883,8398748,2018,105.244
2021-04-10,Brasil,Sao Paulo,661,12252023,2017,54.022
2021-04-10,Estados Unidos,New York,887,8398748,2018,105.615
2021-04-11,Brasil,Sao Paulo,663,12252023,2017,54.131
2021-04-11,Estados Unidos,New York,889,8398748,2018,105.958
2021-04-12,Brasil,Sao Paulo,667,12252023,2017,54.448
2021-04-12,Estados Unidos,New York,892,8398748,2018,106.303
2021-04-13,Brasil,Sao Paulo,671,12252023,2017,54.78
2021-04-13,Estados Unidos,New York,894,8398748,2018,106.559
2021-04-14,Brasil,Sao Paulo,675,12252023,2017,55.12
2021-04-14,Estados Unidos,New York,897,8398748,2018,106.90299999999999
2021-04-15,Brasil,Sao Paulo,679,12252023,2017,55.467
2021-04-15,Estados Unidos,New York,901,8398748,2018,107.288
2021-04-16,Brasil,Sao Paulo,683,12252023,2017,55.771
2021-04-16,Estados Unidos,New York,903,8398748,2018,107.574
2021-04-17,Brasil,Sao Paulo,684,12252023,2017,55.847
2021-04-17,Estados Unidos,New York,906,8398748,2018,107.887
2021-04-18,Brasil,Sao Paulo,685,12252023,2017,55.93899999999999
2021-04-18,Estados Unidos,New York,908,8398748,2018,108.219
2021-04-19,Brasil,Sao Paulo,689,12252023,2017,56.263999999999996
2021-04-19,Estados Unidos,New York,911,8398748,2018,108.509
2021-04-20,Brasil,Sao Paulo,693,12252023,2017,56.583
2021-04-20,Estados Unidos,New York,913,8398748,2018,108.741
2021-04-21,Brasil,Sao Paulo,695,12252023,2017,56.76
2021-04-21,Estados Unidos,New York,915,8398748,2018,109.031
2021-04-22,Brasil,Sao Paulo,699,12252023,2017,57.089
2021-04-22,Estados Unidos,New York,917,8398748,2018,109.27799999999999
2021-04-23,Brasil,Sao Paulo,702,12252023,2017,57.368
2021-04-23,Estados Unidos,New York,919,8398748,2018,109.49799999999999
2021-04-24,Brasil,Sao Paulo,702,12252023,2017,57.368
2021-04-24,Estados Unidos,New York,921,8398748,2018,109.72399999999999
2021-04-25,Brasil,Sao Paulo,704,12252023,2017,57.541000000000004
2021-04-25,Estados Unidos,New York,922,8398748,2018,109.88
2021-04-26,Brasil,Sao Paulo,708,12252023,2017,57.838
2021-04-26,Estados Unidos,New York,924,8398748,2018,110.094
2021-04-27,Brasil,Sao Paulo,712,12252023,2017,58.156000000000006
2021-04-27,Estados Unidos,New York,925,8398748,2018,110.236
2021-04-28,Brasil,Sao Paulo,715,12252023,2017,58.409
2021-04-28,Estados Unidos,New York,927,8398748,2018,110.406
2021-04-29,Brasil,Sao Paulo,718,12252023,2017,58.657
2021-04-29,Estados Unidos,New York,928,8398748,2018,110.594
2021-04-30,Brasil,Sao Paulo,721,12252023,2017,58.876999999999995
2021-04-30,Estados Unidos,New York,930,8398748,2018,110.79700000000001
2021-05-01,Brasil,Sao Paulo,725,12252023,2017,59.195
2021-05-01,Estados Unidos,New York,931,8398748,2018,110.949
2021-05-02,Brasil,Sao Paulo,722,12252023,2017,58.996
2021-05-02,Estados Unidos,New York,932,8398748,2018,111.085
2021-05-03,Brasil,Sao Paulo,725,12252023,2017,59.218999999999994
2021-05-03,Estados Unidos,New York,933,8398748,2018,111.18799999999999
2021-05-04,Brasil,Sao Paulo,728,12252023,2017,59.431000000000004
2021-05-04,Estados Unidos,New York,934,8398748,2018,111.31200000000001
2021-05-05,Brasil,Sao Paulo,730,12252023,2,59.626999999999995
2021-05-05,Estados Unidos,New York,935,8398748,2,111.444
2021-05-06,Brasil,Sao Paulo,733,12252023,2017,59.832
2021-05-06,Estados Unidos,New York,936,8398748,2018,111.55
2021-05-07,Brasil,Sao Paulo,733,12252023,2017,59.832
2021-05-07,Estados Unidos,New York,938,8398748,2018,111.697
2021-05-08,Brasil,Sao Paulo,736,12252023,2017,60.1
2021-05-08,Estados Unidos,New York,939,8398748,2018,111.809
2021-05-09,Brasil,Sao Paulo,736,12252023,2017,60.144
2021-05-09,Estados Unidos,New York,939,8398748,2018,111.898
2021-05-10,Brasil,Sao Paulo,739,12252023,2017,60.38399999999999
2021-05-10,Estados Unidos,New York,940,8398748,2018,111.956
2021-05-11,Brasil,Sao Paulo,742,12252023,2017,60.613
2021-05-11,Estados Unidos,New York,941,8398748,2018,112.06
2021-05-12,Brasil,Sao Paulo,745,12252023,2017,60.817
2021-05-12,Estados Unidos,New York,941,8398748,2018,112.15899999999999
2021-05-13,Brasil,Sao Paulo,748,12252023,2017,61.082
2021-05-13,Estados Unidos,New York,942,8398748,2018,112.257
2021-05-14,Brasil,Sao Paulo,751,12252023,2017,61.305
2021-05-14,Estados Unidos,New York,943,8398748,2018,112.30799999999999
2021-05-15,Brasil,Sao Paulo,752,12252023,2017,61.431000000000004
2021-05-15,Estados Unidos,New York,944,8398748,2018,112.41799999999999
